	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS	AREA	PERIMETER	WCOLGEN02_	WCOLGEN021	DPTO	NOMBRE_DPT	NOMBRE_MPI	NOMBRE_CAB	CLASEMUN	ZONA	OF_REG	REG_ZONAS	HECTARES	CENTROID_LNG	CENTROID_LAT
34	CO04	Atlántico	08	08	084	Ponedera	100.0	560	08560	198993785.417	70846.4261012	38	1026	08	ATLANTICO	PONEDERA	PONEDERA	CM	ZONA01	DABAR	DABARZONA01	19899.379	920750.5222287362	1661874.3843409123
35	CO04	Atlántico	08	08	087	Luruaco	100.0	421	08421	303617935.538	86946.4595592	39	470	08	ATLANTICO	LURUACO	LURUACO	CM	ZONA01	DABAR	DABARZONA01	30361.794	880729.3074645188	1666600.8419198033
36	CO35	Bolívar	13	13	089	Cartagena	100.0	001	13001	790423986.818	244827.583004	40	505	13	BOLIVAR	CARTAGENA	DISTRITO TURISTICO Y CULTURAL DE CARTAGENA DE INDIAS	CM	ZONA03	DABAR	DABARZONA03	79042.399	848270.3132443357	1644314.2251147546
37	CO10	Cesar	20	20	201	Pueblo Bello	100.0	570	20570	1414931201.54	218787.609279	41	1075	20	CESAR	PUEBLO BELLO	PUEBLO BELLO	CM	ZONA05	DABAR	DABARZONA05	141493.12	1044265.2163143872	1627260.651231408
38	CO38	Magdalena	47	47	325	Pivijay	100.0	551	47551	1814894829.16	182313.047241	42	496	47	MAGDALENA	PIVIJAY	PIVIJAY	CM	ZONA07	DABAR	DABARZONA07	181489.483	963746.0636156385	1642461.3026454882
39	CO17	La Guajira	44	44	318	Villanueva	100.0	874	44874	347544126.176	102566.332841	43	568	44	LA GUAJIRA	VILLANUEVA	VILLANUEVA	CM	ZONA06	DABAR	DABARZONA06	34754.413	1121163.4341067285	1660684.778850813
40	CO17	La Guajira	44	44	318	El Molino	100.0	110	44110	137558340.362	51784.4912915	44	561	44	LA GUAJIRA	EL MOLINO	EL MOLINO	CM	ZONA06	DABAR	DABARZONA06	13755.834	1136626.8688311102	1661689.68180319
41	CO38	Magdalena	47	47	324	Fundación	93.0	288	47288	767956103.202	185308.72712	45	493	47	MAGDALENA	FUNDACION	FUNDACION	CM	ZONA07	DABAR	DABARZONA07	76795.61	1020035.7235199462	1647366.029448205
42	CO35	Bolívar	13	13	107	Clemencia	100.0	222	13222	97407099.9859	45458.3908275	46	1057	13	BOLIVAR	CLEMENCIA	CLEMENCIA	CM	ZONA03	DABAR	DABARZONA03	9740.71	865772.5219530982	1657060.7021278513
43	CO04	Atlántico	08	08	087	Repelón	91.0	606	08606	366647421.192	91429.1315366	47	476	08	ATLANTICO	REPELON	REPELON	CM	ZONA01	DABAR	DABARZONA01	36664.742	884238.1281340705	1652572.8964064
44	CO38	Magdalena	47	47	329	Salamina	100.0	675	47675	184916593.433	57497.9981367	48	499	47	MAGDALENA	SALAMINA	SALAMINA	CM	ZONA07	DABAR	DABARZONA07	18491.659	928989.2688944006	1652598.3271704365
45	CO04	Atlántico	08	08	085	Candelaria	100.0	141	08141	134536893.588	51643.7961781	49	467	08	ATLANTICO	CANDELARIA	CANDELARIA	CM	ZONA01	DABAR	DABARZONA01	13453.689	911815.3440145043	1649870.5355065686
46	CO17	La Guajira	44	44	318	Urumita	100.0	855	44855	365621895.266	112291.674151	50	567	44	LA GUAJIRA	URUMITA	URUMITA	CM	ZONA06	DABAR	DABARZONA06	36562.19	1120073.0133826053	1650610.3031568094
47	CO04	Atlántico	08	08	085	Manatí	90.0	436	08436	216756492.378	67500.3705492	51	472	08	ATLANTICO	MANATI	MANATI	CM	ZONA01	DABAR	DABARZONA01	21675.649	899798.5697501386	1646653.1243314994
