MIGCO4_CODE	MIGCO4_NAME	MIGCO4_DEPT
204	Bosconia	CESAR
205	Chimichagua	CESAR
206	Chiriguaná	CESAR
207	Curumaní	CESAR
208	El Copey	CESAR
209	Becerril	CESAR
209	La Jagua de Ibirico	CESAR
210	Manaure	CESAR
210	La Paz	CESAR
210	San Diego	CESAR
211	Astrea	CESAR
211	El Paso	CESAR
212	Pailitas	CESAR
212	Tamalameque	CESAR
213	Gamarra	CESAR
213	La Gloria	CESAR
213	Pelaya	CESAR
214	González	CESAR
214	Río de Oro	CESAR
215	San Alberto	CESAR
215	San Martín	CESAR
216	Montería	CÓRDOBA
217	Ayapel	CÓRDOBA
218	Cereté	CÓRDOBA
219	Chinú	CÓRDOBA
220	Cienaga de Oro	CÓRDOBA
221	Lorica	CÓRDOBA
221	Cotorra	CÓRDOBA
222	Montelíbano	CÓRDOBA
222	La Apartada	CÓRDOBA
222	Puerto Libertador	CÓRDOBA
223	Planeta Rica	CÓRDOBA
224	Buenavista	CÓRDOBA
224	Pueblo Nuevo	CÓRDOBA
224	San Carlos	CÓRDOBA
225	Sahagún	CÓRDOBA
226	San Andrés de Sotavento	CÓRDOBA
227	San Bernardo del Viento	CÓRDOBA
228	San Pelayo	CÓRDOBA
229	Tierralta	CÓRDOBA
230	Valencia	CÓRDOBA
231	Canalete	CÓRDOBA
231	Los Córdobas	CÓRDOBA
232	Moñitos	CÓRDOBA
232	Puerto Escondido	CÓRDOBA
233	Purísima	CÓRDOBA
233	San Antero	CÓRDOBA
234	Chimá	CÓRDOBA
234	Momil	CÓRDOBA
235	Cajicá	CUNDINAMARCA
236	Chía	CUNDINAMARCA
237	Facatativá	CUNDINAMARCA
238	Funza	CUNDINAMARCA
239	Fusagasugá	CUNDINAMARCA
240	Girardot	CUNDINAMARCA
241	Guaduas	CUNDINAMARCA
242	Madrid	CUNDINAMARCA
243	Mosquera	CUNDINAMARCA
244	Pacho	CUNDINAMARCA
245	Sibate	CUNDINAMARCA
246	Soacha	CUNDINAMARCA
246	Granada	CUNDINAMARCA
247	Ubaté	CUNDINAMARCA
248	Villeta	CUNDINAMARCA
249	Zipaquirá	CUNDINAMARCA
250	Yacopí	CUNDINAMARCA
250	Puerto Salgar	CUNDINAMARCA
251	Caparrapí	CUNDINAMARCA
251	Utica	CUNDINAMARCA
252	La Palma	CUNDINAMARCA
252	La Peña	CUNDINAMARCA
253	El Peñón	CUNDINAMARCA
253	Paime	CUNDINAMARCA
253	San Cayetano	CUNDINAMARCA
253	Topaipí	CUNDINAMARCA
253	Villagomez	CUNDINAMARCA
254	Carmen de Carupa	CUNDINAMARCA
254	Simijaca	CUNDINAMARCA
254	Susa	CUNDINAMARCA
255	Fúquene	CUNDINAMARCA
255	Guachetá	CUNDINAMARCA
255	Lenguazaque	CUNDINAMARCA
256	Manta	CUNDINAMARCA
256	Tibirita	CUNDINAMARCA
256	Villapinzón	CUNDINAMARCA
257	Chocontá	CUNDINAMARCA
257	Machetá	CUNDINAMARCA
258	Suesca	CUNDINAMARCA
258	Cucunubá	CUNDINAMARCA
258	Sutatausa	CUNDINAMARCA
259	Cogua	CUNDINAMARCA
259	Nemocón	CUNDINAMARCA
259	Tausa	CUNDINAMARCA
260	Guatavita	CUNDINAMARCA
260	Sesquilé	CUNDINAMARCA
260	Gachancipá	CUNDINAMARCA
261	Choachí	CUNDINAMARCA
261	Fómeque	CUNDINAMARCA
262	Gachetá	CUNDINAMARCA
262	Gama	CUNDINAMARCA
262	Junín	CUNDINAMARCA
263	Guasca	CUNDINAMARCA
263	La Calera	CUNDINAMARCA
264	Sopó	CUNDINAMARCA
264	Tocancipá	CUNDINAMARCA
265	Caqueza	CUNDINAMARCA
265	Chipaque	CUNDINAMARCA
265	Ubaque	CUNDINAMARCA
266	Fosca	CUNDINAMARCA
266	Guayabetal	CUNDINAMARCA
266	Quetame	CUNDINAMARCA
266	Une	CUNDINAMARCA
266	Gutiérrez	CUNDINAMARCA
267	Nimaima	CUNDINAMARCA
267	Quebradanegra	CUNDINAMARCA
267	Vergara	CUNDINAMARCA
268	La Vega	CUNDINAMARCA
268	San Francisco	CUNDINAMARCA
268	Supatá	CUNDINAMARCA
269	Tabio	CUNDINAMARCA
269	Subachoque	CUNDINAMARCA
269	El Rosal	CUNDINAMARCA
270	Cota	CUNDINAMARCA
270	Tenjo	CUNDINAMARCA
271	Guayabal de Síquima	CUNDINAMARCA
271	Albán	CUNDINAMARCA
271	Sasaima	CUNDINAMARCA
271	Nocaima	CUNDINAMARCA
272	Bituima	CUNDINAMARCA
272	Chaguaní	CUNDINAMARCA
272	Quipile	CUNDINAMARCA
272	Vianí	CUNDINAMARCA
273	Beltrán	CUNDINAMARCA
273	Guataquí	CUNDINAMARCA
273	Pulí	CUNDINAMARCA
273	Jerusalén	CUNDINAMARCA
273	San Juan de Rio Seco	CUNDINAMARCA
273	Anapoima	CUNDINAMARCA
273	La Mesa	CUNDINAMARCA
273	Nariño	CUNDINAMARCA
274	Anolaima	CUNDINAMARCA
274	Cachipay	CUNDINAMARCA
275	Bojacá	CUNDINAMARCA
275	Zipacón	CUNDINAMARCA
275	Tena	CUNDINAMARCA
275	San Antonio del Tequendama	CUNDINAMARCA
276	Tocaima	CUNDINAMARCA
276	Apulo	CUNDINAMARCA
277	Silvania	CUNDINAMARCA
277	Tibacuy	CUNDINAMARCA
277	Viotá	CUNDINAMARCA
277	El Colegio	CUNDINAMARCA
278	Arbeláez	CUNDINAMARCA
278	Pasca	CUNDINAMARCA
279	Cabrera	CUNDINAMARCA
279	Venecia	CUNDINAMARCA
279	San Bernardo	CUNDINAMARCA
279	Pandi	CUNDINAMARCA
280	Agua de Dios	CUNDINAMARCA
280	Ricaurte	CUNDINAMARCA
280	Nilo	CUNDINAMARCA
281	Gachalá	CUNDINAMARCA
281	Paratebueno	CUNDINAMARCA
281	Ubalá	CUNDINAMARCA
281	Medina	CUNDINAMARCA
282	Quibdó	CHOCÓ
282	Atrato	CHOCÓ
