	FIPS104	DEPT_NAME	DEPTCO	MIGCO2	MUNICO	MUNI_NAME	MATCH_QUAL	MPIO	MPIOS
134	CO35	Bolívar	13	13	098	Pinillos	100.0	549	13549
135	CO10	Cesar	20	20	212	Pailitas	100.0	517	20517
136	CO27	Sucre	70	70	451	Sucre	100.0	771	70771
137	CO12	Córdoba	23	23	220	Cienaga de Oro	100.0	189	23189
138	CO35	Bolívar	13	13	102	Hatillo de Loba	100.0	300	13300
139	CO12	Córdoba	23	23	225	Sahagún	91.0	660	23660
140	CO35	Bolívar	13	13	102	El Peñón	85.0	268	13268
141	CO35	Bolívar	13	13	102	San Martín de Loba	96.0	667	13667
142	CO12	Córdoba	23	23	231	Los Córdobas	95.0	419	23419
143	CO12	Córdoba	23	23	218	Cereté	90.0	162	23162
144	CO35	Bolívar	13	13	111	Barranco de Loba	100.0	074	13074
145	CO12	Córdoba	23	23	216	Montería	92.0	001	23001
146	CO27	Sucre	70	70	447	Caimito	100.0	124	70124
147	CO02	Antioquia	05	05	006	Arboletes	100.0	051	05051
148	CO10	Cesar	20	20	213	Pelaya	100.0	550	20550
149	CO27	Sucre	70	70	448	La Unión	92.0	400	70400
150	CO12	Córdoba	23	23	224	San Carlos	100.0	678	23678
151	CO12	Córdoba	23	23	231	Canalete	100.0	090	23090
152	CO21	Norte Santander	54	54	384	El Tarra	100.0	250	54250
153	CO35	Bolívar	13	13	111	Altos de Rosario	96.0	030	13030
154	CO35	Bolívar	13	13	099	Regidor	100.0	580	13580
155	CO02	Antioquia	05	05	006	San Juan de Uraba	100.0	659	05659
156	CO35	Bolívar	13	13	090	Achí	85.0	006	13006
157	CO10	Cesar	20	20	213	La Gloria	100.0	383	20383
158	CO27	Sucre	70	70	444	Majagual	100.0	429	70429
159	CO27	Sucre	70	70	448	San Marcos	100.0	708	70708
160	CO02	Antioquia	05	05	029	Necocli	100.0	490	05490
161	CO35	Bolívar	13	13	099	Rio Viejo	100.0	600	13600
162	CO11	Chocó	27	27	292	Acandí	90.0	006	27006
163	CO35	Bolívar	13	13	098	Tiquisio	100.0	810	13810
164	CO02	Antioquia	05	05	034	San Pedro de Uraba	100.0	665	05665
165	CO12	Córdoba	23	23	224	Pueblo Nuevo	100.0	570	23570
166	CO21	Norte Santander	54	54	386	San Calixto	100.0	670	54670
167	CO12	Córdoba	23	23	223	Planeta Rica	100.0	555	23555
168	CO27	Sucre	70	70	444	Guaranda	100.0	265	70265
169	CO10	Cesar	20	20	202	Aguachica	100.0	011	20011
170	CO12	Córdoba	23	23	217	Ayapel	100.0	068	23068
171	CO21	Norte Santander	54	54	386	Hacarí	90.0	344	54344
172	CO10	Cesar	20	20	213	Gamarra	100.0	295	20295
173	CO35	Bolívar	13	13	097	Morales	100.0	473	13473
174	CO35	Bolívar	13	13	090	Montecristo	100.0	458	13458
175	CO10	Cesar	20	20	214	González	92.0	310	20310
176	CO21	Norte Santander	54	54	381	Sardinata	100.0	720	54720
177	CO02	Antioquia	05	05	041	Turbo	100.0	837	05837
178	CO12	Córdoba	23	23	230	Valencia	100.0	855	23855
179	CO21	Norte Santander	54	54	376	Cúcuta	90.0	001	54001
180	CO21	Norte Santander	54	54	379	Ocaña	100.0	498	54498
181	CO35	Bolívar	13	13	090	San Jacinto del Cauca	100.0	655	13655
182	CO21	Norte Santander	54	54	376	Puerto Santander	100.0	553	54553
183	CO11	Chocó	27	27	292	Unguía	90.0	800	27800
184	CO12	Córdoba	23	23	224	Buenavista	100.0	079	23079
185	CO12	Córdoba	23	23	229	Tierralta	100.0	807	23807
186	CO21	Norte Santander	54	54	386	La Playa	100.0	398	54398
187	CO10	Cesar	20	20	214	Río de Oro	94.0	614	20614
188	CO35	Bolívar	13	13	097	Arenal	100.0	042	13042
189	CO21	Norte Santander	54	54	390	El Zulia	100.0	261	54261
190	CO21	Norte Santander	54	54	377	Abrego	100.0	003	54003
191	CO02	Antioquia	05	05	018	Nechi	100.0	495	05495
192	CO21	Norte Santander	54	54	388	Bucarasica	100.0	109	54109
193	CO12	Córdoba	23	23	222	Montelíbano	94.0	466	23466
194	CO02	Antioquia	05	05	018	El Bagre	100.0	250	05250
195	CO35	Bolívar	13	13	103	Simití	90.0	744	13744
196	CO12	Córdoba	23	23	222	La Apartada	100.0	350	23350
197	CO26	Santander	68	68	417	Puerto Wilches	100.0	575	68575
198	CO35	Bolívar	13	13	104	Santa Rosa del Sur	100.0	688	13688
199	CO10	Cesar	20	20	215	San Martín	94.0	770	20770
200	CO21	Norte Santander	54	54	388	Villa Caro	100.0	871	54871
201	CO02	Antioquia	05	05	005	Apartado	100.0	045	05045
202	CO02	Antioquia	05	05	013	Caucasia	100.0	154	05154
203	CO10	Cesar	20	20	215	San Alberto	100.0	710	20710
204	CO21	Norte Santander	54	54	388	Lourdes	100.0	418	54418
